code	description	chapter	catalog_version
J00	Acute nasopharyngitis [common cold]	J	ICD-10-CM-2025
J0100	Acute maxillary sinusitis, unspecified	J	ICD-10-CM-2025
J0101	Acute recurrent maxillary sinusitis	J	ICD-10-CM-2025
J0110	Acute frontal sinusitis, unspecified	J	ICD-10-CM-2025
J0111	Acute recurrent frontal sinusitis	J	ICD-10-CM-2025
J0120	Acute ethmoidal sinusitis, unspecified	J	ICD-10-CM-2025
J0121	Acute recurrent ethmoidal sinusitis	J	ICD-10-CM-2025
J0130	Acute sphenoidal sinusitis, unspecified	J	ICD-10-CM-2025
J0131	Acute recurrent sphenoidal sinusitis	J	ICD-10-CM-2025
J0140	Acute pansinusitis, unspecified	J	ICD-10-CM-2025
J0141	Acute recurrent pansinusitis	J	ICD-10-CM-2025
J0180	Other acute sinusitis	J	ICD-10-CM-2025
J0181	Other acute recurrent sinusitis	J	ICD-10-CM-2025
J0190	Acute sinusitis, unspecified	J	ICD-10-CM-2025
J0191	Acute recurrent sinusitis, unspecified	J	ICD-10-CM-2025
J020	Streptococcal pharyngitis	J	ICD-10-CM-2025
J028	Acute pharyngitis due to other specified organisms	J	ICD-10-CM-2025
J029	Acute pharyngitis, unspecified	J	ICD-10-CM-2025
J0300	Acute streptococcal tonsillitis, unspecified	J	ICD-10-CM-2025
J0301	Acute recurrent streptococcal tonsillitis	J	ICD-10-CM-2025
J0380	Acute tonsillitis due to other specified organisms	J	ICD-10-CM-2025
J0381	Acute recurrent tonsillitis due to other specified organisms	J	ICD-10-CM-2025
J0390	Acute tonsillitis, unspecified	J	ICD-10-CM-2025
J0391	Acute recurrent tonsillitis, unspecified	J	ICD-10-CM-2025
J040	Acute laryngitis	J	ICD-10-CM-2025
J0410	Acute tracheitis without obstruction	J	ICD-10-CM-2025
J0411	Acute tracheitis with obstruction	J	ICD-10-CM-2025
J042	Acute laryngotracheitis	J	ICD-10-CM-2025
J0430	Supraglottitis, unspecified, without obstruction	J	ICD-10-CM-2025
J0431	Supraglottitis, unspecified, with obstruction	J	ICD-10-CM-2025
J050	Acute obstructive laryngitis [croup]	J	ICD-10-CM-2025
J0510	Acute epiglottitis without obstruction	J	ICD-10-CM-2025
J0511	Acute epiglottitis with obstruction	J	ICD-10-CM-2025
J060	Acute laryngopharyngitis	J	ICD-10-CM-2025
J069	Acute upper respiratory infection, unspecified	J	ICD-10-CM-2025
J09X1	Influenza due to identified novel influenza A virus with pneumonia	J	ICD-10-CM-2025
J09X2	Influenza due to identified novel influenza A virus with other respiratory manifestations	J	ICD-10-CM-2025
J09X3	Influenza due to identified novel influenza A virus with gastrointestinal manifestations	J	ICD-10-CM-2025
J09X9	Influenza due to identified novel influenza A virus with other manifestations	J	ICD-10-CM-2025
J1000	Influenza due to other identified influenza virus with unspecified type of pneumonia	J	ICD-10-CM-2025
J1001	Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia	J	ICD-10-CM-2025
J1008	Influenza due to other identified influenza virus with other specified pneumonia	J	ICD-10-CM-2025
J101	Influenza due to other identified influenza virus with other respiratory manifestations	J	ICD-10-CM-2025
J102	Influenza due to other identified influenza virus with gastrointestinal manifestations	J	ICD-10-CM-2025
J1081	Influenza due to other identified influenza virus with encephalopathy	J	ICD-10-CM-2025
J1082	Influenza due to other identified influenza virus with myocarditis	J	ICD-10-CM-2025
J1083	Influenza due to other identified influenza virus with otitis media	J	ICD-10-CM-2025
J1089	Influenza due to other identified influenza virus with other manifestations	J	ICD-10-CM-2025
J1100	Influenza due to unidentified influenza virus with unspecified type of pneumonia	J	ICD-10-CM-2025
J1108	Influenza due to unidentified influenza virus with specified pneumonia	J	ICD-10-CM-2025
J111	Influenza due to unidentified influenza virus with other respiratory manifestations	J	ICD-10-CM-2025
J112	Influenza due to unidentified influenza virus with gastrointestinal manifestations	J	ICD-10-CM-2025
J1181	Influenza due to unidentified influenza virus with encephalopathy	J	ICD-10-CM-2025
J1182	Influenza due to unidentified influenza virus with myocarditis	J	ICD-10-CM-2025
J1183	Influenza due to unidentified influenza virus with otitis media	J	ICD-10-CM-2025
J1189	Influenza due to unidentified influenza virus with other manifestations	J	ICD-10-CM-2025
J120	Adenoviral pneumonia	J	ICD-10-CM-2025
J121	Respiratory syncytial virus pneumonia	J	ICD-10-CM-2025
J122	Parainfluenza virus pneumonia	J	ICD-10-CM-2025
J123	Human metapneumovirus pneumonia	J	ICD-10-CM-2025
J1281	Pneumonia due to SARS-associated coronavirus	J	ICD-10-CM-2025
J1282	Pneumonia due to coronavirus disease 2019	J	ICD-10-CM-2025
J1289	Other viral pneumonia	J	ICD-10-CM-2025
J129	Viral pneumonia, unspecified	J	ICD-10-CM-2025
J13	Pneumonia due to Streptococcus pneumoniae	J	ICD-10-CM-2025
J14	Pneumonia due to Hemophilus influenzae	J	ICD-10-CM-2025
J150	Pneumonia due to Klebsiella pneumoniae	J	ICD-10-CM-2025
J151	Pneumonia due to Pseudomonas	J	ICD-10-CM-2025
J1520	Pneumonia due to staphylococcus, unspecified	J	ICD-10-CM-2025
J15211	Pneumonia due to Methicillin susceptible Staphylococcus aureus	J	ICD-10-CM-2025
J15212	Pneumonia due to Methicillin resistant Staphylococcus aureus	J	ICD-10-CM-2025
J1529	Pneumonia due to other staphylococcus	J	ICD-10-CM-2025
J153	Pneumonia due to streptococcus, group B	J	ICD-10-CM-2025
J154	Pneumonia due to other streptococci	J	ICD-10-CM-2025
J155	Pneumonia due to Escherichia coli	J	ICD-10-CM-2025
J1561	Pneumonia due to Acinetobacter baumannii	J	ICD-10-CM-2025
J1569	Pneumonia due to other Gram-negative bacteria	J	ICD-10-CM-2025
J157	Pneumonia due to Mycoplasma pneumoniae	J	ICD-10-CM-2025
J158	Pneumonia due to other specified bacteria	J	ICD-10-CM-2025
J159	Unspecified bacterial pneumonia	J	ICD-10-CM-2025
J160	Chlamydial pneumonia	J	ICD-10-CM-2025
J168	Pneumonia due to other specified infectious organisms	J	ICD-10-CM-2025
J17	Pneumonia in diseases classified elsewhere	J	ICD-10-CM-2025
J180	Bronchopneumonia, unspecified organism	J	ICD-10-CM-2025
J181	Lobar pneumonia, unspecified organism	J	ICD-10-CM-2025
J182	Hypostatic pneumonia, unspecified organism	J	ICD-10-CM-2025
J188	Other pneumonia, unspecified organism	J	ICD-10-CM-2025
J189	Pneumonia, unspecified organism	J	ICD-10-CM-2025
J200	Acute bronchitis due to Mycoplasma pneumoniae	J	ICD-10-CM-2025
J201	Acute bronchitis due to Hemophilus influenzae	J	ICD-10-CM-2025
J202	Acute bronchitis due to streptococcus	J	ICD-10-CM-2025
J203	Acute bronchitis due to coxsackievirus	J	ICD-10-CM-2025
J204	Acute bronchitis due to parainfluenza virus	J	ICD-10-CM-2025
J205	Acute bronchitis due to respiratory syncytial virus	J	ICD-10-CM-2025
J206	Acute bronchitis due to rhinovirus	J	ICD-10-CM-2025
J207	Acute bronchitis due to echovirus	J	ICD-10-CM-2025
J208	Acute bronchitis due to other specified organisms	J	ICD-10-CM-2025
J209	Acute bronchitis, unspecified	J	ICD-10-CM-2025
J210	Acute bronchiolitis due to respiratory syncytial virus	J	ICD-10-CM-2025
J211	Acute bronchiolitis due to human metapneumovirus	J	ICD-10-CM-2025
J218	Acute bronchiolitis due to other specified organisms	J	ICD-10-CM-2025
J219	Acute bronchiolitis, unspecified	J	ICD-10-CM-2025
J22	Unspecified acute lower respiratory infection	J	ICD-10-CM-2025
J300	Vasomotor rhinitis	J	ICD-10-CM-2025
J301	Allergic rhinitis due to pollen	J	ICD-10-CM-2025
J302	Other seasonal allergic rhinitis	J	ICD-10-CM-2025
J305	Allergic rhinitis due to food	J	ICD-10-CM-2025
J3081	Allergic rhinitis due to animal (cat) (dog) hair and dander	J	ICD-10-CM-2025
J3089	Other allergic rhinitis	J	ICD-10-CM-2025
J309	Allergic rhinitis, unspecified	J	ICD-10-CM-2025
J310	Chronic rhinitis	J	ICD-10-CM-2025
J311	Chronic nasopharyngitis	J	ICD-10-CM-2025
J312	Chronic pharyngitis	J	ICD-10-CM-2025
J320	Chronic maxillary sinusitis	J	ICD-10-CM-2025
J321	Chronic frontal sinusitis	J	ICD-10-CM-2025
J322	Chronic ethmoidal sinusitis	J	ICD-10-CM-2025
J323	Chronic sphenoidal sinusitis	J	ICD-10-CM-2025
J324	Chronic pansinusitis	J	ICD-10-CM-2025
J328	Other chronic sinusitis	J	ICD-10-CM-2025
J329	Chronic sinusitis, unspecified	J	ICD-10-CM-2025
J330	Polyp of nasal cavity	J	ICD-10-CM-2025
J331	Polypoid sinus degeneration	J	ICD-10-CM-2025
J338	Other polyp of sinus	J	ICD-10-CM-2025
J339	Nasal polyp, unspecified	J	ICD-10-CM-2025
J340	Abscess, furuncle and carbuncle of nose	J	ICD-10-CM-2025
J341	Cyst and mucocele of nose and nasal sinus	J	ICD-10-CM-2025
J342	Deviated nasal septum	J	ICD-10-CM-2025
J343	Hypertrophy of nasal turbinates	J	ICD-10-CM-2025
J3481	Nasal mucositis (ulcerative)	J	ICD-10-CM-2025
J34829	Nasal valve collapse, unspecified	J	ICD-10-CM-2025
J3489	Other specified disorders of nose and nasal sinuses	J	ICD-10-CM-2025
J349	Unspecified disorder of nose and nasal sinuses	J	ICD-10-CM-2025
J3501	Chronic tonsillitis	J	ICD-10-CM-2025
J3502	Chronic adenoiditis	J	ICD-10-CM-2025
J3503	Chronic tonsillitis and adenoiditis	J	ICD-10-CM-2025
J351	Hypertrophy of tonsils	J	ICD-10-CM-2025
J352	Hypertrophy of adenoids	J	ICD-10-CM-2025
J353	Hypertrophy of tonsils with hypertrophy of adenoids	J	ICD-10-CM-2025
J358	Other chronic diseases of tonsils and adenoids	J	ICD-10-CM-2025
J359	Chronic disease of tonsils and adenoids, unspecified	J	ICD-10-CM-2025
J36	Peritonsillar abscess	J	ICD-10-CM-2025
J370	Chronic laryngitis	J	ICD-10-CM-2025
J371	Chronic laryngotracheitis	J	ICD-10-CM-2025
J3800	Paralysis of vocal cords and larynx, unspecified	J	ICD-10-CM-2025
J3801	Paralysis of vocal cords and larynx, unilateral	J	ICD-10-CM-2025
J3802	Paralysis of vocal cords and larynx, bilateral	J	ICD-10-CM-2025
J381	Polyp of vocal cord and larynx	J	ICD-10-CM-2025
J382	Nodules of vocal cords	J	ICD-10-CM-2025
J383	Other diseases of vocal cords	J	ICD-10-CM-2025
J384	Edema of larynx	J	ICD-10-CM-2025
J385	Laryngeal spasm	J	ICD-10-CM-2025
J386	Stenosis of larynx	J	ICD-10-CM-2025
