code	description	chapter	catalog_version
A000	Cholera due to Vibrio cholerae 01, biovar cholerae	A	ICD-10-CM-2025
A001	Cholera due to Vibrio cholerae 01, biovar eltor	A	ICD-10-CM-2025
A009	Cholera, unspecified	A	ICD-10-CM-2025
A0100	Typhoid fever, unspecified	A	ICD-10-CM-2025
A0101	Typhoid meningitis	A	ICD-10-CM-2025
A0102	Typhoid fever with heart involvement	A	ICD-10-CM-2025
A0103	Typhoid pneumonia	A	ICD-10-CM-2025
A0104	Typhoid arthritis	A	ICD-10-CM-2025
A0105	Typhoid osteomyelitis	A	ICD-10-CM-2025
A0109	Typhoid fever with other complications	A	ICD-10-CM-2025
A011	Paratyphoid fever A	A	ICD-10-CM-2025
A012	Paratyphoid fever B	A	ICD-10-CM-2025
A013	Paratyphoid fever C	A	ICD-10-CM-2025
A014	Paratyphoid fever, unspecified	A	ICD-10-CM-2025
A020	Salmonella enteritis	A	ICD-10-CM-2025
A021	Salmonella sepsis	A	ICD-10-CM-2025
A0220	Localized salmonella infection, unspecified	A	ICD-10-CM-2025
A0221	Salmonella meningitis	A	ICD-10-CM-2025
A0222	Salmonella pneumonia	A	ICD-10-CM-2025
A0223	Salmonella arthritis	A	ICD-10-CM-2025
A0224	Salmonella osteomyelitis	A	ICD-10-CM-2025
A0225	Salmonella pyelonephritis	A	ICD-10-CM-2025
A0229	Salmonella with other localized infection	A	ICD-10-CM-2025
A028	Other specified salmonella infections	A	ICD-10-CM-2025
A029	Salmonella infection, unspecified	A	ICD-10-CM-2025
A030	Shigellosis due to Shigella dysenteriae	A	ICD-10-CM-2025
A031	Shigellosis due to Shigella flexneri	A	ICD-10-CM-2025
A032	Shigellosis due to Shigella boydii	A	ICD-10-CM-2025
A033	Shigellosis due to Shigella sonnei	A	ICD-10-CM-2025
A038	Other shigellosis	A	ICD-10-CM-2025
A039	Shigellosis, unspecified	A	ICD-10-CM-2025
A040	Enteropathogenic Escherichia coli infection	A	ICD-10-CM-2025
A041	Enterotoxigenic Escherichia coli infection	A	ICD-10-CM-2025
A042	Enteroinvasive Escherichia coli infection	A	ICD-10-CM-2025
A043	Enterohemorrhagic Escherichia coli infection	A	ICD-10-CM-2025
A044	Other intestinal Escherichia coli infections	A	ICD-10-CM-2025
A045	Campylobacter enteritis	A	ICD-10-CM-2025
A046	Enteritis due to Yersinia enterocolitica	A	ICD-10-CM-2025
A0471	Enterocolitis due to Clostridium difficile, recurrent	A	ICD-10-CM-2025
A0472	Enterocolitis due to Clostridium difficile, not specified as recurrent	A	ICD-10-CM-2025
A048	Other specified bacterial intestinal infections	A	ICD-10-CM-2025
A049	Bacterial intestinal infection, unspecified	A	ICD-10-CM-2025
A050	Foodborne staphylococcal intoxication	A	ICD-10-CM-2025
A051	Botulism food poisoning	A	ICD-10-CM-2025
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	A	ICD-10-CM-2025
A053	Foodborne Vibrio parahaemolyticus intoxication	A	ICD-10-CM-2025
A054	Foodborne Bacillus cereus intoxication	A	ICD-10-CM-2025
A055	Foodborne Vibrio vulnificus intoxication	A	ICD-10-CM-2025
A058	Other specified bacterial foodborne intoxications	A	ICD-10-CM-2025
A059	Bacterial foodborne intoxication, unspecified	A	ICD-10-CM-2025
A060	Acute amebic dysentery	A	ICD-10-CM-2025
A061	Chronic intestinal amebiasis	A	ICD-10-CM-2025
A062	Amebic nondysenteric colitis	A	ICD-10-CM-2025
A063	Ameboma of intestine	A	ICD-10-CM-2025
A064	Amebic liver abscess	A	ICD-10-CM-2025
A065	Amebic lung abscess	A	ICD-10-CM-2025
A066	Amebic brain abscess	A	ICD-10-CM-2025
A067	Cutaneous amebiasis	A	ICD-10-CM-2025
A0681	Amebic cystitis	A	ICD-10-CM-2025
A0682	Other amebic genitourinary infections	A	ICD-10-CM-2025
A0689	Other amebic infections	A	ICD-10-CM-2025
A069	Amebiasis, unspecified	A	ICD-10-CM-2025
A070	Balantidiasis	A	ICD-10-CM-2025
A071	Giardiasis [lambliasis]	A	ICD-10-CM-2025
A072	Cryptosporidiosis	A	ICD-10-CM-2025
A073	Isosporiasis	A	ICD-10-CM-2025
A074	Cyclosporiasis	A	ICD-10-CM-2025
A078	Other specified protozoal intestinal diseases	A	ICD-10-CM-2025
A079	Protozoal intestinal disease, unspecified	A	ICD-10-CM-2025
A080	Rotaviral enteritis	A	ICD-10-CM-2025
A0811	Acute gastroenteropathy due to Norwalk agent	A	ICD-10-CM-2025
A0819	Acute gastroenteropathy due to other small round viruses	A	ICD-10-CM-2025
A082	Adenoviral enteritis	A	ICD-10-CM-2025
A0831	Calicivirus enteritis	A	ICD-10-CM-2025
A0832	Astrovirus enteritis	A	ICD-10-CM-2025
A0839	Other viral enteritis	A	ICD-10-CM-2025
A084	Viral intestinal infection, unspecified	A	ICD-10-CM-2025
A088	Other specified intestinal infections	A	ICD-10-CM-2025
A09	Infectious gastroenteritis and colitis, unspecified	A	ICD-10-CM-2025
A150	Tuberculosis of lung	A	ICD-10-CM-2025
A154	Tuberculosis of intrathoracic lymph nodes	A	ICD-10-CM-2025
A155	Tuberculosis of larynx, trachea and bronchus	A	ICD-10-CM-2025
A156	Tuberculous pleurisy	A	ICD-10-CM-2025
A157	Primary respiratory tuberculosis	A	ICD-10-CM-2025
A158	Other respiratory tuberculosis	A	ICD-10-CM-2025
